,Type,Price,advance,Monthly installment,Remaining installments,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
16,Plot File,PKR12.6 Lakh,,,,"Lahore - Islamabad Motorway, Lahore, Punjab",-,3 Marla,For Sale,-,3 days ago,
17,Plot File,PKR15 Lakh,PKR2.75 Lakh,PKR9.5 Thousand,48 Months,"Lahore - Islamabad Motorway, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,
18,Plot File,PKR3 Lakh,,,,"Lahore - Islamabad Motorway, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,
19,Plot File,PKR6 Lakh,,,,"Lahore - Islamabad Motorway, Lahore, Punjab",-,10 Marla,For Sale,-,3 days ago,
20,Residential Plot,PKR17.5 Lakh,,,,"Lahore - Islamabad Motorway, Lahore, Punjab",-,3 Marla,For Sale,-,3 days ago,"Sewerage,Electricity,Water Supply,Boundary Wall"
21,Plot File,PKR6 Lakh,,,,"Lahore - Islamabad Motorway, Lahore, Punjab",-,10 Marla,For Sale,-,3 days ago,
22,Residential Plot,PKR17.5 Lakh,PKR4.38 Lakh,PKR10 Thousand,60 Months,"Lahore - Islamabad Motorway, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,"Possesion,Corner,Park Facing,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
23,Plot File,PKR12.6 Lakh,PKR2.25 Lakh,PKR8.5 Thousand,48 Months,"Lahore - Islamabad Motorway, Lahore, Punjab",-,3 Marla,For Sale,-,4 days ago,
24,Residential Plot,PKR10.5 Lakh,PKR2.63 Lakh,PKR6.5 Thousand,60 Months,"Lahore - Islamabad Motorway, Lahore, Punjab",-,3 Marla,For Sale,-,6 days ago,
25,Residential Plot,PKR17.5 Lakh,PKR3 Lakh,PKR11 Thousand,60 Months,"Lahore - Islamabad Motorway, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,"Corner,Park Facing,Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff"
26,Plot File,PKR10 Lakh,,,,"Lahore - Islamabad Motorway, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,
27,Residential Plot,PKR12.6 Lakh,PKR2 Lakh,PKR8 Thousand,60 Months,"Lahore - Islamabad Motorway, Lahore, Punjab",-,3 Marla,For Sale,-,6 days ago,
28,Residential Plot,PKR15 Lakh,,,,"Lahore - Islamabad Motorway, Lahore, Punjab",-,5 Marla,For Sale,-,10 hours ago,
29,Residential Plot,PKR9.45 Lakh,,,,"Lahore - Islamabad Motorway, Lahore, Punjab",-,3 Marla,For Sale,-,10 hours ago,
30,Residential Plot,PKR22 Lakh,,,,"Lahore - Islamabad Motorway, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,
31,Residential Plot,PKR23 Lakh,,,,"Lahore - Islamabad Motorway, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,"Possesion,Corner,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
32,Plot File,PKR7.5 Lakh,,,,"Lahore - Islamabad Motorway, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,
33,Plot File,PKR10 Lakh,,,,"Lahore - Islamabad Motorway, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,
34,Plot File,PKR1.75 Lakh,,,,"Lahore - Islamabad Motorway, Lahore, Punjab",-,3 Marla,For Sale,-,1 week ago,
35,Plot File,PKR2.75 Lakh,,,,"Lahore - Islamabad Motorway, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,
36,Plot File,PKR5 Lakh,,,,"Lahore - Islamabad Motorway, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,
37,Plot File,PKR2 Lakh,,,,"Lahore - Islamabad Motorway, Lahore, Punjab",-,3 Marla,For Sale,-,1 week ago,
38,Plot File,PKR3 Lakh,,,,"Lahore - Islamabad Motorway, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,
39,Plot File,PKR6 Lakh,,,,"Lahore - Islamabad Motorway, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,
