,Type,Price,advance,Monthly installment,Remaining installments,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
63,Plot File,PKR7.5 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,
64,Plot File,PKR5 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,3 Marla,For Sale,-,4 days ago,
65,Plot File,PKR7.5 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,1 Kanal,For Sale,-,4 days ago,
66,Plot File,PKR1.75 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,3 Marla,For Sale,-,4 days ago,
67,Plot File,PKR2.5 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,
68,Plot File,PKR4.5 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,4 days ago,
69,Residential Plot,PKR35 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,
70,Residential Plot,PKR35 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,
71,Plot File,PKR24 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,1 Kanal,For Sale,-,5 days ago,
72,Plot File,PKR24 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,1 Kanal,For Sale,-,5 days ago,
73,Plot File,PKR24 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,1 Kanal,For Sale,-,5 days ago,
74,Plot File,PKR12.75 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,5 days ago,
75,Plot File,PKR24 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,1 Kanal,For Sale,-,5 days ago,
76,Plot File,PKR12.75 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,5 days ago,
77,Plot File,PKR12.75 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,5 days ago,
78,Plot File,PKR12.75 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,5 days ago,
79,Plot File,PKR12.75 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,5 days ago,
80,Plot File,PKR24 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,1 Kanal,For Sale,-,5 days ago,
81,Plot File,PKR6.75 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,
82,Plot File,PKR6.75 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,
