,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities,advance,Monthly installment,Remaining installments
113,Plot File,PKR3.8 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,4 weeks ago,,,,
114,Plot File,PKR39.6 Lakh,"GT Road, Lahore, Punjab",-,10 Marla,For Sale,-,3 days ago,,,,
115,Residential Plot,PKR33 Lakh,"GT Road, Lahore, Punjab",-,10 Marla,For Sale,-,3 days ago,,,,
116,Residential Plot,PKR1.05 Crore,"GT Road, Lahore, Punjab",-,10 Marla,For Sale,-,3 days ago,,,,
117,Residential Plot,PKR85 Lakh,"GT Road, Lahore, Punjab",-,6 Marla,For Sale,-,3 days ago,,,,
118,Residential Plot,PKR2.4 Crore,"GT Road, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,,,,
119,Residential Plot,PKR51 Lakh,"GT Road, Lahore, Punjab",-,3 Marla,For Sale,-,3 days ago,,,,
120,Residential Plot,PKR32 Lakh,"GT Road, Lahore, Punjab",-,3.5 Marla,For Sale,-,3 days ago,,,,
121,Residential Plot,PKR1.22 Crore,"GT Road, Lahore, Punjab",-,10.1 Marla,For Sale,-,3 days ago,,,,
122,Residential Plot,PKR80 Lakh,"GT Road, Lahore, Punjab",-,8 Marla,For Sale,-,3 days ago,,,,
123,Residential Plot,PKR66 Lakh,"GT Road, Lahore, Punjab",-,4 Marla,For Sale,-,3 days ago,,,,
124,Residential Plot,PKR75 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,,,,
125,Residential Plot,PKR40 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,,,,
126,Commercial Plot,PKR2.5 Crore,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,,,,
127,Residential Plot,PKR70 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,,,,
128,Residential Plot,PKR45 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,,,,
129,Plot File,PKR4.32 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,4 weeks ago,,,,
130,Residential Plot,PKR17.5 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,4 weeks ago,,PKR3 Lakh,PKR15 Thousand,36 Months
131,Residential Plot,PKR50 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,4 weeks ago,,,,
132,Residential Plot,PKR41 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,4 weeks ago,,,,
133,Residential Plot,PKR33 Lakh,"GT Road, Lahore, Punjab",-,3 Marla,For Sale,-,4 weeks ago,,,,
134,Residential Plot,PKR53 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,4 weeks ago,,,,
135,Residential Plot,PKR16 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,4 weeks ago,,,,
136,Residential Plot,PKR26.85 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,4 weeks ago,"File,Balloted,Electricity,Water Supply,Sui Gas",PKR2.69 Lakh,PKR63.33 Thousand,12 Months
137,Residential Plot,PKR30 Lakh,"GT Road, Lahore, Punjab",-,3 Marla,For Sale,-,4 weeks ago,,,,
138,Residential Plot,PKR21.6 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,,,,
139,Commercial Plot,PKR1.75 Crore,"GT Road, Lahore, Punjab",-,8 Marla,For Sale,-,3 days ago,,,,
140,Plot File,PKR18 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,,,,
141,Plot File,PKR28.2 Lakh,"GT Road, Lahore, Punjab",-,7 Marla,For Sale,-,3 days ago,,,,
142,Plot File,PKR33 Lakh,"GT Road, Lahore, Punjab",-,10 Marla,For Sale,-,3 days ago,,,,
143,Plot File,PKR54 Lakh,"GT Road, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,,,,
144,Commercial Plot,PKR89.5 Lakh,"GT Road, Lahore, Punjab",-,4 Marla,For Sale,-,3 days ago,,PKR17.9 Lakh,PKR1.95 Lakh,36 Months
