,Type,Price,advance,Monthly installment,Remaining installments,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
112,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,6 days ago,
113,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,6 days ago,
114,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,6 days ago,
115,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,6 days ago,
116,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,6 days ago,
117,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,6 days ago,
118,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,6 days ago,
119,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,6 days ago,
120,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,6 days ago,
121,Residential Plot,PKR1.42 Crore,,,,"Main Canal Bank Road, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,
122,Residential Plot,PKR2.25 Crore,,,,"Main Canal Bank Road, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,
123,Residential Plot,PKR2.3 Crore,,,,"Main Canal Bank Road, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,
124,Residential Plot,PKR2.52 Crore,,,,"Main Canal Bank Road, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,
125,Residential Plot,PKR2.65 Crore,,,,"Main Canal Bank Road, Lahore, Punjab",-,15 Marla,For Sale,-,1 week ago,
126,Residential Plot,PKR2.25 Crore,,,,"Main Canal Bank Road, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,
127,Residential Plot,PKR27.5 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,"File,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants"
128,Residential Plot,PKR25 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,1 week ago,"File,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants"
129,Residential Plot,PKR25 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,1 week ago,"File,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants"
130,Residential Plot,PKR1.29 Crore,,,,"Main Canal Bank Road, Lahore, Punjab",-,7 Marla,For Sale,-,1 week ago,
131,Residential Plot,PKR56 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,4 Marla,For Sale,-,1 week ago,
