,Type,Price,advance,Monthly installment,Remaining installments,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
164,Residential Plot,PKR80 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,
165,Residential Plot,PKR62.5 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,
166,,,,,,,,,,,,
167,Residential Plot,PKR1.05 Crore,,,,"Al Rehman Garden, Lahore, Punjab",-,10 Marla,For Sale,-,3 days ago,
168,Residential Plot,PKR1.1 Crore,,,,"Al Rehman Garden, Lahore, Punjab",-,10 Marla,For Sale,-,3 days ago,
169,Residential Plot,PKR28.25 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,3 Marla,For Sale,-,3 days ago,
170,Residential Plot,PKR40 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,
171,Residential Plot,PKR32.5 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,3 Marla,For Sale,-,3 days ago,
172,Residential Plot,PKR1.1 Crore,,,,"Al Rehman Garden, Lahore, Punjab",-,10 Marla,For Sale,-,3 days ago,
173,Residential Plot,PKR95 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,10 Marla,For Sale,-,3 days ago,
174,Residential Plot,PKR72 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,8 Marla,For Sale,-,3 days ago,
175,Commercial Plot,PKR60 Lakh,PKR28 Lakh,PKR55 Thousand,32 Months,"Al Rehman Garden, Lahore, Punjab",-,4 Marla,For Sale,-,2 weeks ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
176,,,,,,,,,,,,
177,Plot File,PKR6.2 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,3.5 Marla,For Sale,-,2 weeks ago,
178,Plot File,PKR4.25 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,7 Marla,For Sale,-,2 weeks ago,
179,Residential Plot,PKR67.5 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
180,Residential Plot,PKR17.85 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,3.5 Marla,For Sale,-,2 weeks ago,
181,Residential Plot,PKR48 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,6 Marla,For Sale,-,2 weeks ago,
182,Residential Plot,PKR37.5 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
183,Residential Plot,PKR75 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,
184,Commercial Plot,PKR90 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,2 Marla,For Sale,-,3 weeks ago,
185,Commercial Plot,PKR1.72 Crore,,,,"Al Rehman Garden, Lahore, Punjab",-,4 Marla,For Sale,-,3 weeks ago,
186,Commercial Plot,PKR2.1 Crore,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,
187,Residential Plot,PKR57.5 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,
188,Residential Plot,PKR37.5 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,
189,Residential Plot,PKR23.75 Lakh,PKR3.5 Lakh,PKR20 Thousand,60 Months,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,
190,Residential Plot,PKR1.13 Crore,,,,"Al Rehman Garden, Lahore, Punjab",-,10 Marla,For Sale,-,4 weeks ago,
191,Residential Plot,PKR85 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,8 Marla,For Sale,-,3 days ago,
192,Residential Plot,PKR1.05 Crore,,,,"Al Rehman Garden, Lahore, Punjab",-,10 Marla,For Sale,-,3 days ago,
193,Residential Plot,PKR22.5 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,3 Marla,For Sale,-,3 days ago,
194,Residential Plot,PKR1.1 Crore,,,,"Al Rehman Garden, Lahore, Punjab",-,8 Marla,For Sale,-,3 days ago,
195,Residential Plot,PKR72 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,6 Marla,For Sale,-,3 days ago,
196,Residential Plot,PKR90 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,11 Marla,For Sale,-,3 days ago,
197,Residential Plot,PKR24.5 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,3 Marla,For Sale,-,1 day ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply"
198,Residential Plot,PKR22 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,3 Marla,For Sale,-,6 hours ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Other Facilities"
199,Commercial Plot,PKR80 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,2 Marla,For Sale,-,4 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants"
200,Plot File,PKR25 Lakh,PKR3.4 Lakh,PKR22 Thousand,60 Months,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,
201,Residential Plot,PKR63 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,6 Marla,For Sale,-,4 days ago,
202,Plot File,PKR1.5 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,3 Marla,For Sale,-,4 days ago,
203,Plot File,PKR2.5 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,
204,Plot File,PKR3 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,
205,Residential Plot,PKR52 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,8 Marla,For Sale,-,4 days ago,
206,Residential Plot,PKR31.5 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,6 Marla,For Sale,-,4 days ago,
207,Residential Plot,PKR4.2 Crore,,,,"Al Rehman Garden, Lahore, Punjab",-,13.5 Marla,For Sale,-,4 days ago,
